City ,Lat,Long ,Case413,Case412
Granada Hills,,,47,
Green Meadows,,,14,
Hancock Park,,,47,
Harbor City ,,,24,
Harbor Gateway,,,32,
Harbor Pines,,,0,
Harvard Heights,,,21,
Harvard Park,,,27,
Highland Park,,,35,
Historic Filipinotown,,,19,
Hollywood,,,117,
Hollywood Hills,,,46,
Hyde Park,,,16,
Jefferson Park,,,0,
Koreatown,,,49,
Lafayette Square,,,7,
Lake Balboa,,,34,
Lakeview Terrace,,,16,
Leimert Park,,,35,
Lincoln Heights,,,8,
Little Armenia,,,41,
Little Bangladesh,,,32,
Little Tokyo,,,0,
Longwood,,,0,
Los Feliz ,,,21,
Manchester Square,,,0,
Mandeville Canyon,,,0,
Mar Vista,,,34,
Marina Peninsula,,,8,
Melrose,,,200,
Mid-city,,,24,
Miracle Mile,,,20,
Mission Hills,,,21,
Mt. Washington,,,13,
North Hills,,,48,
North Hollywood,,,127,
Northridge,,,48,
Pacific Palisades,,,32,
Pacoima,,,57,
Palisades Highlands,,,0,
Palms,,,69,
Panorama City,,,69,
Park La Brea,,,9,
Pico-Union,,,53,
Playa Del Rey ,,,0,
Playa Vista,,,10,
Porter Ranch,,,28,
Rancho Park,,,8,
Regent Square,,,0,
Reseda,,,73,
Reseda Ranch,,,9,
Reynier Village,,,5,
San Pedro,,,50,
Shadow Hills,,,7,
Sherman Oaks,,,80,
Silverlake,,,78,
South Carthay,,,20,
South Park,,,41,
St Elmo Village,,,0,
Studio City,,,21,
Sun Valley,,,34,
Sunland,,,32,
Sycamore Square,,,0,
Sylmar,,,107,
Tarzana,,,44,
Temple-Beaudry,,,54,
Thai Town,,,9,
Toluca Lake,,,7,
Toluca Terrace,,,0,
Toluca Woods,,,0,
Tujunga,,,15,
University Hills,,,0,
University Park,,,26,
Valley Glen,,,32,
Valley Village,,,36,
Van Nuys,,,86,
Venice,,,35,
Vermont Knolls,,,15,
Vermont Square,,,16,
Vermont Vista,,,27,
Vernon Central,,,41,
Victoria Park,,,17,
View Heights,,,0,
Watts,,,29,
Wellington Square,,,0,
West Adams,,,44,
West Hills,,,23,
West Los Angeles,,,34,
West Vernon,,,65,
Westchester,,,32,
Westlake,,,64,
Westwood,,,35,
Wholesale District,,,18,
Wilmington,,,33,
Wilshire Center,,,47,
Winnetka,,,49,
Woodland Hills,,,69,
Altadena,,,37,
Athens-Westmont,,,35,
Athens Village,,,6,
Canyon Country,,,14,
Castaic,,,9,
Covina,,,12,
Covina (Charter Oak) ,,,9,
Del Aire,,,5,
East Los Angeles,,,95,
East Rancho Dominguez,,,10,
Florence-Firestone,,,60,
Hacienda Heights,,,30,
La Crescenta-Montrose,,,10,
La Rambla,,,6,
Ladera Heights,,,14,
Lennox,,,18,
Marina del Rey,,,6,
Monrovia,,,5,
Northeast San Gabriel,,,6,
Quartz Hill ,,,8,
Rancho Dominguez,,,5,
Rowland Heights,,,17,
Santa Monica Mountains,,,7,
South San Gabriel,,,7,
South Whittier,,,28,
Stevenson Ranch,,,11,
Valinda,,,10,
View Park/Windsor Hills ,,,16,
Walnut Park,,,20,
West Carson,,,29,
West Puente Valley,,,6,
West Whittier/Los Nietos,,,11,
Willowbrook,,,21,
Under Investigation,,,675,
Pasadena ,34.156113, -118.131943,117,117
Long Beach ,33.7701,,337,332
